iyi geçti mi	iyi geçmek ?
erkek kardeşim üniversite birinci sınıf öğrencisidir	benim erkek kardeş üniversite birinci sınıf öğrenci
salata sevmiyorum	ben salata sevmek değil
ağabeyim duygu göstermedi	benim abi duygu göstermek değil
o dener	o denemek
evimi beğeniyorum	ben benim ev beğenmek
bana herkesin önünde hakaret etti	o bana herkes önünde hakaret
kendimi çok kötü hissetmedim	ben kendim çok kötü hissetmek değil
evde değil	o ev orada değil
sizi polise vermeyeceğim	ben siz polis vermek değil
pencere burada	pencere burada
öğretmenimi sevmiyordum	ben benim öğretmen sevmek değil
birisi seni sordu	biri sen sormak
o annesinin yemek pişirmesine yardım eder	o onun anne yemek pişirmek yardım_etmek
hazır mıyız	biz hazır ?
bence o yanlış	bence o yanlış
sana teşekkür etmek için geldim	ben sana teşekkür_etmek için gelmek
biz kazanmaya çalışıyoruz	biz kazanmak çalışmak
o denize gitmek istedi	o deniz gitmek istemek
ben yaptığım işte iyiyim	ben yapmak iş iyi
burada mısın	sen burada ?
yarın git	sen yarın gitmek
hiç çocuğunun olmadığını söyleyebilirim	onun hiç çocuk olmak değil ben söylemek ebilmek
o deli oluyor	o deli olmak
o mutfak masasına bir not bıraktı	o mutfak masa bir not bırakmak
akşamları erken yatıyorum	ben akşam erken yatmak
film seyredeceğiz	biz film seyretmek
araba sürmeyi biliyor	o araba sürmek bilmek
günaydın sevgilim	günaydın benim sevgili
emlak fiyatları artmaktadır	emlak fiyat artmak
babam uzun boylu	benim baba uzun boy
elini kaldırdı	o el kaldırmak
para istedi	o para istemek
bu benim annemin	bu benim anne
o ne kadar güçlü	o ne_kadar güçlü ?
muzun fiyatı ne kadar	muz fiyat ne_kadar ?
okula gidiyor musun	sen okul gitmek ?
benimle ticaret yap	sen benim ile ticaret yapmak
yarın yola çıkacağım	ben yarın yol çıkmak
onun üzgün olduğundan şüpheleniyorum	ben onun üzgün olmak şüphelenmek
yakında başlıyor muyuz	biz yakında başlamak ?
hemen arkadaş oldular	onlar hemen arkadaş olmak
hazır olmak istiyorum	ben hazır olmak istemek
ona yolu gösterdi	o ona yol göstermek
o erken kalktı	o erken kalkmak
o senin öğretmenin mi	o senin öğretmen ?
onu unutmadım	ben o unutmak değil
onların geldiğini duydum	ben onların gelmek duymak
arkadaşımın yardımını istemeye karar verdim	ben benim arkadaş yardım istemek karar_vermek
ben sıramı bekliyorum	ben benim sıra beklemek
odamı temizleyip anneme yardım etti	o benim oda temizlemek sonra benim anne yardım_etmek
ben arkadaşlarımla sinemaya gitmekten hoşlanırım	ben benim arkadaş ile sinema gitmek hoşlanmak
uzun süredir buradaydım	ben uzun süre burada
hiç ekmek var mı	hiç ekmek var ?
fiyatı çok yüksek	fiyat çok yüksek
biz her önlemi aldık	biz her önlem almak
doktor var	doktor var
birçok nedenlerden dolayı ondan nefret ediyorum	ben birçok neden yüzünden nefret o
o kalktı ve pencereye gitti	o kalkmak ve pencere gitmek
bunlar benim kız kardeşimin dergileri	bunlar benim kız kardeş dergi
bu eski bir isim	bu eski bir isim
onu sevmiyorsun değil mi	sen o sevmek değil ?
telefonunu düşürdün	sen senin telefon düşürmek
çok da umrumda	ben umursamamak
o ancak bir çocuk	o ancak bir çocuk
erken geldim	ben erken gelmek
balık tutmayı seviyorum	ben balık tutmak sevmek
futbol oynamayı severim	ben futbol oynamak sevmek
asla eve gitmiyorum	ben asla ev gitmek değil
onlar her derse devam eder	onlar her ders devam_etmek
şaşırmış gibi duruyorsun	sen şaşırmak gibi durmak
muhabir gazete baskıya girmeden hemen önce hikayesini teslim etti	muhabir gazete baskı girmek önce onun hikaye teslim_etmek
herkes onu arıyordu	herkes o aramak
sebebi bilmiyordum	ben onun sebep bilmek değil
sessiz kaldım	ben sessiz kalmak
ben avrupada her yerdeydim	ben avrupa orada her yer
satranç severim	ben satranç sevmek
ben seyirci kaldım	ben seyirci kalmak
yarışı kaybettim	ben yarış kaybetmek
o niçin kızgın	o niçin kızgın ?
öğretmen okula geç kaldığından ders iptal edildi	öğretmen okul geç kalmak ders iptal_etmek
sen sür	sen sürmek
evet ya da hayır sorusu	evet ya_da hayır soru
o tekrar televizyon izlemeye gitti	o tekrar televizyon izlemek gitmek
film nasıldı	film nasıl ?
o ne kadar süredir hasta	o ne_kadar süre hasta ?
kız arkadaşının adı ne	senin kız arkadaş ad ne ?
sen içeri girdin	sen içeri girmek
hastaneye gitmem lazım	ben hastane gitmek lazım
mahkumlar ne yerler	mahkum x2 ne yemek
bu gece dışarı çıkıp çin yemekleri yiyelim	biz bu gece dışarı gitmek çin yemek yemek
bunu düzeltmek imkansız	bu düzeltmek imkansız
bu benim otobüsüm	bu benim otobüs
buradan çıkacağım	ben burada çıkmak
soru nedendir	soru neden ?
çok söyledim	ben çok söylemek
adana'da kar yağdı	adana orada kar yağmak
onun öldüğünü görmüyor musun	sen onun ölmek görmek ?
akşam yemeği vakti	akşam yemek vakit
nerede kalmıştık	biz nerede kalmak ?
onu burada sevmem	ben o burada sevmek değil
allaha emanet ol	allaha_emanet_ol
odamı temizlemek istiyorum	ben benim oda temizlemek istemek
arabayı sattım	ben araba satmak
her yere baktım	ben her yer bakmak
ben aile değilim	ben aile değil
o fotoğrafı bir hafta önce çektim	o fotoğraf bir hafta önce çekmek
o takıma yeniden katıldı	o takım yeniden katılmak
bunu bitiremedim	ben bu bitirmek değil
onu kendim yazdım	ben o kendi yazmak
arkadaşıma bir mesaj gönderdim	ben benim arkadaş bir mesaj göndermek
ben zaman istiyorum	o zaman istemek
kapıya baktım	ben kapı bakmak
o parasını sayıyor	o onun para saymak
o için yazdım	o için yazmak
seni işe almak istiyoruz	biz sen iş almak istemek
arabayla okula gitti	o araba okul gitmek
onlara haber vermedim	ben onlar haber vermek değil
öğle yemeği yemek için öğrencilere yetersiz zaman verildiğini düşünüyor musun	öğle yemek yemek için öğrenci yetersiz zaman vermek düşünmek ?
birkaç kitap okudum	ben birkaç kitap okumak
sen bir hayran mısın	sen hayran ?
sen bitirdin	sen bitirmek
yatmadan önce okumayı severim	ben yatmak önce okumak sevmek
ben de bilmek istiyorum	ben bilmek istemek
birçok hayat için savaşı kazandılar	onlar birçok hayat için savaş kazanmak
bir çocuğu vardı	onun bir çocuk var
onlar endişeli	onlar endişeli
o yemekten sonra masadan yemekleri temizlendi	o yemek sonra masa üstünde yemek temizlemek
bu benim arkadaşım	bu benim arkadaş
onlar kavga istiyordu	onlar kavga istemek
gülümsememeye çalışıyordu	o gülümsemek değil çalışmak
erkekler ağlar mı	erkek x2 ağlamak ?
evi terketti	o ev terk_etmek
lütfen gider misin	sen lütfen gitmek ?
kör kız akşam yemeği yaptı	kör kız akşam yemek yapmak
kanepede uyudum	ben kanepe orada uyumak
seni son gördüğümde sakalın vardı	ben sen son görmek senin sakal var
yarın çok eğleneceğiz	biz yarın çok eğlenmek
sizi duyduk	biz siz duymak
onu hiç tanımadım	ben o hiç tanımak değil
onun cesaretine şaşırdım	ben onun cesaret şaşırmak
o birini istiyor	o biri istemek
allaha şükür babam hasta olmamış	allaha_şükür benim baba hasta_olmak değil
ablam yazmada iyidir	benim abla yazmak iyi
sorunu annemle tartıştım	ben sorun benim anne ile tartışmak
yardım etmek istedim	ben yardım_etmek istemek
yarın derse gelmez	o yarın ders gelmek değil
ben geri döndüm	ben geri dönmek
o binadaki yeni bir çocukla çabucak arkadaş oldu	o bina orada yeni bir çocuk ile çabuk arkadaş olmak
çorba istiyorum	ben çorba istemek
onlar onu çalmaya çalışıyorlar	onlar o çalmak çalışmak
ondan nefret ediyorum	ben o nefret_etmek
annen baban nerede	senin anne baba nerede ?
onu kardeşim gibi seviyorum	ben o benim kardeş gibi sevmek
aldığım pantolon çok dar	benim almak pantolon çok dar
onların şarabı var	onların şarap var
konuşamayacak kadar çok şaşırmıştım	ben konuşmak değil kadar çok şaşırmak
başını sallayarak evet dedi	o baş sallamak evet demek
bir şey yapmaya git	sen bir_şey yapmak gitmek
ışıkları kapattın mı	sen ışık kapatmak ?
o bugün dışarı çıkamaz çünkü hastadır	o bugün dışarı çıkmak değil çünkü hasta
annesini babasını mutlu yapmak	o onun anne baba mutlu yapmak
kaç tane renk var	kaç tane renk var ?
dışarı çıkarken kapıyı kapa	siz dışarı çıkmak kapı kapatmak
o intikam istiyordu	o intikam istemek
asla senin yerini alamadım	ben asla senin yer almak ebilmek değil
kedi şaşırarak atladı	kedi şaşırmak atlamak
onu yaptın	sen o yapmak
yurt dışına çıkmak istiyorum	ben yurt_dışı çıkmak istemek
o yüzmeyi bilir	o yüzmek bilmek
senin dans etmeni izlemeyi seviyorum	ben senin dans izlemek sevmek
o beni hiç aramadı	o ben hiç aramak değil
burada yeni	o burada yeni
birisini bulacağım	ben biri bulmak
hey numaranı almalıyım	hey ben senin numara almak lazım
ben sizin ikinizi eve götürmek için arabama alabilir miyim	ben sizin ikiniz ev götürmek için benim araba almak ?
biz hep buradayız	biz hep burada
tek sorunum yakın bir arkadaşımın olmamasıdır	tek sorun benim yakın bir arkadaş olmak değil
biz hep çocuklarla birlikte evdeyiz	biz hep çocuk x2 ile birlikte ev orada
sana bir defa daha soracağım	ben sana bir defa daha sormak
onu derhal yap	sen derhal o yapmak
kızımı mutlaka okuldan alacağım	ben benim kız mutlaka okul orada almak
kardeşim televizyon seyrediyor ve bugün çok çalışmıyor	benim kardeş televizyon seyretmek ve bugün çok çalışmak değil
biz kaybettik	biz kaybetmek
kampa devam etmeliyiz	biz kamp devam_etmek
herkes eğlendi	herkes eğlenmek
zor mu	zor ?
yalnız mıydı	o yalnız ?
sevdiğin gibi yapmaya git	sen senin sevmek gibi yapmak gitmek
onlar itaat etti	onlar itaat
merhaba dedi	o merhaba demek
o geçen hafta derse katılmadı	o geçen_hafta ders katılmak değil
arkadaşın sana gönderdi mi	senin arkadaş sana göndermek ?
ona yazmaya çalıştım	ben ona yazmak çalışmak
arkadaşım yavaşça ayağa kalktı	benim arkadaş yavaş ayak kalkmak
o onun yaptığına üzülmedi	o onun yapmak üzülmek değil
etiketi okudum	ben etiket okumak
ben onu kapattım	ben o kapatmak
müzik benim hayatım	müzik benim hayat
bütün haftayı bu konuda harcadım	ben bütün hafta bu konu harcamak
beni deniz tutar	ben deniz_tutması
onların çok arkadaşı var	onların çok arkadaş var
yarınki toplantıdan ona bahsettin mi	siz yarın toplantı ona bahsetmek
o ve sen çok yakın zamanda evlendiniz	o ve sen çok yakın zaman evlenmek
ne zaman başladın	sen ne_zaman başlamak ?
bir taksi çağırdım çünkü yağmur yağıyordu	ben bir taksi çağırmak çünkü yağmur yağmak değil
resim yapıyorum	ben resim_yapmak
ışıkları kapatın	sen ışık kapatmak
onun raporumu düzeltmesini istedim	ben onun benim rapor düzeltmek istemek
yüzünü ve ellerini yıkadı	o yüz el x2 yıkamak
benim hiç çocuğum yoktu	benim hiç çocuk yok
bence bunu görmelisin	sen bence bu görmek
onu güvenli oynuyoruz	biz o güvenli oynamak
onlar daha iyi günler gördü	onlar daha iyi gün görmek
fiyatı ne olmalıydı	fiyat ne olmak ?
ben yeni bir tane alacağım	ben yeni bir tane almak
o kısa zamanda gerçeği öğrendi	o kısa zaman gerçek öğrenmek
o kayıp çocuğunu aramak için gitti	o onun kayıp çocuk aramak için gitmek
o bir öğrenci değil	o bir öğrenci değil
oda sıcak	oda sıcak
o sınıfa koştu	o sınıf oraya koşmak
yola çıkmak istiyor musun	sen yola_çıkmak istemek ?
ona inanmak istemiyorum	ben o inanmak istemek değil
sonuna istediğim bilgisayarı aldım	ben sonunda istek bilgisayar almak
bu babamın yazdığı ilk şey	bu benim baba yazmak ilk şey
oda kalabalıktı	oda kalabalık
az önce arabamı ona sattım	ben az önce benim araba satmak
sigarayı bırakmakmalısın	sen sigara bırakmak
benim programım çok dolu	benim program çok dolu
ben onun için yazdım	ben onun için yazmak
ben buzdolabını temizledim	ben buzdolabı temizlemek
şimdi geri döndü	o şimdi geri dönmek
harika hissetmiyorum	ben harika hissetmek değil
hafta içi akşamları dışarı çıkmam	ben hafta_içi akşam dışarı çıkmak değil
sigara içerdim	ben sigara_içmek
erken uyanırım	ben erken uyanmak
o yakın oturdu	o yakın oturmak
beraber iyi çalarız	biz beraber iyi çalmak
sadece onu gördüm	ben sade o görmek
onları koru	sen onlar korumak
o arabasını tamir ettirdi	o araba tamir_etmek
beni öp	sen ben öpmek
şekerli yiyecekleri azalttı	o şeker yiyecek azaltmak
o utandı	o utanmak
bunlar yeni	bunlar yeni
o buradayken sabahları yüzerdi	o burada sabah yüzmek
o bu sokakta yaşamaktadır	o bu sokak orada yaşamak
başarılı olmanı istiyorum	ben senin başarılı olmak istemek
onlar ağlayarak sarıldı	onlar ağlamak sarılmak
nedenini anlamadım	ben neden anlamak değil
ev pis kokuyordu	ev pis kokmak
araba sürmeyi bilmiyorum	ben araba sürmek bilmek değil
onunla ben mezun olduktan sonra teması kaybettik	onun ile ben mezun olmak sonra temas kaybetmek
ben birini gördüm	ben biri görmek
ben tam zamanlı çalışıyorum	ben tam zaman çalışmak
herkese iyi akşamlar	herkes iyi_akşamlar
benim evim yeni	benim ev yeni
bir içecek isteyip istemediğimi sordu	o sormak ben bir içecek istemek ya_da istemek değil
hâlâ kitap okuyor musunuz	siz hâlâ kitap okumak ?
lezzetli bir salata hazırladı	o lezzetli bir salata hazırlamak
dolabında bulduğum şeye bak	ben onun dolap orada bir_şey bulmak sen bakmak
ben yeni bir bilgisayar istiyorum	ben yeni bir bilgisayar istemek
yaşlı adamın eksik dişleri var	yaşlı adam onun eksik diş var
o ne zaman yemek yiyecek	o ne zaman yemek yemek ?
sen kimin için çalıştın	sen kim için çalışmak ?
erkek çocuklar üzgün görünüyor	erkek çocuk x2 üzgün gibi
nerede okuyor	o nerede okumak ?
olay için rapor verdim	ben olay için rapor vermek
geri geldikten sonra inceleyeceğim	ben geri gelmek sonra incelemek
o bizimle oyun oynuyor	o bizim ile oyun oynamak
sis kalktı	sis kalkmak
ayakkabılarını temizledin değil mi	sen senin ayakkabı temizlemek ?
orada durdu	o orada durmak
bu arabayı kim aldı	bu araba kim almak ?
otobüs çok kalabalık olduğundan eve yürüyerek gidiyorum	otobüs çok kalabalık olmak ben ev yürümek gitmek
tv izlemeyi sevmiyorum	ben televizyon izlemek sevmek değil
aradığın şey bu değil mi	senin aramak şey bu değil ?
çantasında bir şey olduğunu sanmıyorum	ben onun çanta orada bir_şey olmak sanmak değil
o kapıda duruyordu	o kapı orada durmak
kalacağımı düşünüyorum	ben benim kalmak düşünmek
ben dün okula gittim	ben dün okul gitmek
bana bir elma ver	sen bana bir elma vermek
ben onları buldum	ben bulmak onlar
bir defa daha deneyelim	biz bir defa daha denemek
o sırrı öğrendi	o sır öğrenmek
o biraz şaşırmıştı	o biraz şaşırmak
mutfakta yemek pişiriyor	o mutfak orada yemek_pişirmek
araba sürerken çok mutlu görünmüyor	o araba sürmek çok mutlu görünmek değil
almak için anlaştım	ben almak için anlaşmak
o oynamak istiyor	o oynamak istemek
gıda fiyatları arttı	gıda fiyat artmak
o kan görünce bayıldı	o kan görmek bayılmak
o erkek kardeşime ait	o benim erkek kardeş ait
demiryolu	tren yol
bence kazanacaklar	onlar bence kazanmak
o koşar	o koşmak
o güzel bir kadın	o güzel bir kadın
o ve ben yan yana oturduk	o ve ben yan yan oturmak
ne istediğimi biliyor musun	sen bilmek ben ne istemek ?
onun babası bir doktor mu	onun baba bir doktor ?
iki çocuk masa üstünde oturuyorlar	iki çocuk masa üstünde oturmak
sınavı geçti	o sınav geçmek
onlara saygı duyuyoruz	ben onlar saygı duymak
ben bir öğrenciyim fakat o değil	ben bir öğrenci fakat o değil
nereye gittin	sen nereye gitmek ?
ben gelecek hakkında endişeleniyorum	ben gelecek hakkında endişelenmek
çok fazla para harcıyorsun	sen çok fazla para harcamak
ben çok fazla uğraşmaya çalışmadım	ben çok fazla uğraşmak çalışmak değil
ablam iyi bir aşçı değildir	benim abla iyi bir aşçı değil
bunu sevmiyorsun değil mi	sen bu sevmek değil ?
ben sıkıcı bulduğum kitapları asla bitirmem	ben sıkıcı kitap x2 bulmak ben asla bitirmek değil
yakında ölebilirim	ben yakında ölmek
oğlumu hiç anlamadım	ben benim oğul hiç anlamak değil
bir ömür boyu hapis cezası aldı	o ömür_boyu hapis ceza almak
yumurtaları severim	ben yumurta sevmek
kalbini kırmak istemediğini biliyorum	ben bilmek sen onun kalbi_kırılmak istemek değil
onu neden istiyorsun	sen o neden istemek ?
kazanmak istedi	o kazanmak istemek
o bana şarkı söylemeyi öğretti	o bana şarkı söylemek öğretmek
o ailesiyle her şeyi görüşür	o onun aile ile her_şey görüşmek
bugün ofisi erken kapattık	biz bugün ofis erken kapatmak
dışarıda uyudum	ben dışarı orada uyumak
çizim yapmak hoşuma gitti	çizim yapmak benim hoş gitmek
onlar ne düşünüyor	onlar ne düşünmek ?
arkadaşımın kuzeni bir gün izin aldı	benim arkadaş onun kuzen bir gün izin_almak
bütün ihtiyacımız olan bu mu	bizim bütün ihtiyaç olmak bu ?
o duygusal mıydı	o duygusal ?
televizyon izliyor musun	sen televizyon izlemek ?
bostonı çok özledim	ben ora çok özlemek
kaç tane mobil telefonun var	senin kaç tane telefon var ?
o keki sever	o kek sevmek
senin için gidip arkadaşını alacağım	ben gitmek senin için senin arkadaş almak
pencerenin yanında oturmayı tercih etmez misiniz	siz pencere yanında oturmak tercih_etmek ?
